subQ,,,,,,,
how would you characterize this persons alcohol problem?,"so i ask you, general public, would you call my husbands drinking problems ""alcoholism"", or what would you call it?",,,,,,
mentally addicted to alcohol but not phsyically addicted?,,,,,,,
support for mothers who have had their child removed from their care due to alcohol addiction?,i just wondered if anyone could relate to the shame and guilt one feels for doing so and then having to accept responsibility for the consequences. ,,,,,,
how can i help my alcoholic uncle?,,,,,,,
how do i accept others drinking when my mother is an alcoholic?,what can i do to be more comfortable with him drinking and realize that not everyone who drinks alcohol is going to cause me the pain my mother did? ,,,,,,
could i develop alcoholism?,,,,,,,
how long does it take your body to recover from alcohol abuse?,,,,,,,
"does pot make people more stupid than alcohol, or is the effects about the same?",what drunk have you ever seen act intelligent?,why do people get addicted to this doing these things?,is it like a competition with friends to see who can act dumber?,"why do some stoners claim it doesnt make them dumber, isnt that just dumb?",why would someone want to do drugs to escape reality?,,
can you die from alcohol poisioning even if your not drunk?,could he just have died at any moment or was he good to go because he wasnt drunk?,,,,,,
"what if your count is low, your red cells are large, youre not low on iron or b12 and yo dont abuse alcohol?",,,,,,,
how to deal with my alcoholic abusive father ?,,,,,,,
marijuana better for you than tobacco/alcohol?,"why does the government legalize tobacco and alcohol, but keeps cannabis illegal?",,,,,,
why is alcohol treated differently from other drugs?,,,,,,,
is my roommate an alcoholic?,,,,,,,
why do teenage kids 14-18 think its big to drink alcohol?,"mostly pointed towards girls, the slutish ones who like to act like theyre boss, why do you think its big to drink alcohol, mostly vodka and boast about it?","also why do you feel the need to post a picture of your 2 bottles of vodka, your malibu and a 29 pence bottle of coca cola from tesco on facebook with a description of ""this will be fun"" or ""tonight were gonna get smashed"" are you just immature, needing attention, think its attractive or just mentally retarded?",,,,,
i have been taking lorezapam for 4 day for alcohol detox am i addicted. do i just stop?,,,,,,,
i fear my boyfriend has a problem with alcohol abuse. need advice.?,what kind if person would i be if i left him high and dry when he was in need of help?,,,,,,
is god against alcohol?,,,,,,,
is getting drunk once a week lead to possible alcohol abuse or be considered drinking too often?,,,,,,,
"i am a 19-year old alcoholic, how do i overcome this?",how can i quit?,,,,,,
"i think i have alcohol addiction , what will happen if i tell my doctor?",,,,,,,
will lorazepam w/alcohol cause permanent dementia?,"if this is true, would the dementia be permanent or is it possible that w/detox she will regain her independence?",,,,,,
what does alcohol do to the blood/liver?,,,,,,,
"ive been called one, and im curious. is alcoholism real?",is alcoholism real?,,,,,,
cola is addicting than alcohol..yes or no....?,i wonder if im the only one addicted to cola.,,,,,,
alcohol and drug problems.can anyone tell me what is causing this?,,,,,,,
is abusing alcohol bad?,,,,,,,
how do you calculate alcohol content in blood?,,,,,,,
which organ may enlarge due to excessive alcohol?,,,,,,,
do i have ms. or are my symptoms a result of alcohol abuse?,,,,,,,
can i sue the catholic church for getting me addicted to alcohol at a very young age?,"can i sue them for giving me ""the blood of christ"" to drink when i was a little kid?",,,,,,
oxycodone acetaminophen 5-325 and alcohol?,,,,,,,
what one do you think is worse for people to be addicted to marijuana or alcohol?,,,,,,,
whats the islamic cure to drinking alcohol?,how can i stop drinking alcohol?,what are your recommendations for cutting back or eliminating my drinking of alcohol on a personal level?,,,,,
why isnt alcohol taking over her life?,im not complaining but why isnt she a drinker because ive heard drinking makes you addicted.,,,,,,
can alcohol abuse cause nerve damage eg numbness and pins and needlesor?,,,,,,,
why such a black cloud over drugs compared to alcohol?,,,,,,,
"alcohol abuse, how long does it take to become addicted?",,,,,,,
"christians, why does mitt romney avoid caffeine and alcohol but is a prolific liar?",,,,,,,
suffering from sex addiction when you are under the influence of alcohol or drugs?,is it common to see people become sex addicts when they use alcohol/drugs? ,,,,,,
"alcoholism and autoimmune disease (sle), is this possible?",could have caused some* defective gene that was transmitted to her that caused this disease later on in her life,,,,,,
is alcohol or weed worse for you?,,,,,,,
why is alcohol advertised on tv?,,,,,,,
how an economist would approach the problem of alcohol abuse. provide two (2) possible solutions to this probl?,how would an economist approach the problem of alcohol abuse?,,,,,,
how to write a thesis on alcohol and drug?,,,,,,,
should i drink this (alcohol)?,,,,,,,
poll have u met people who have had their whole life ruined by alcohol?,,,,,,,
whats a good legal drug that i can abuse over the counter except for alcohol because that gets old?,,,,,,,
would you rather be addicted to smoking or alcohol?,,,,,,,
how much alcohol do you ahve to drink until it makes you addicted?,,,,,,,
do people experience withdrawal symptoms after abusing alcohol for 11months?,is me wanting a drink just a force of habit or a symptom of withdrawal? ,,,,,,
i drink 4 beers a day. sometimes i can go for several day. am i an alcoholic?,am i an alcoholic?,,,,,,
what can i do about my husbands shocking alcohol abuse related constipation?,,,,,,,
would 30 milligrams of xanax mixed with alcohol kill me (not suicidal just want to be safe)?,,,,,,,
i have 3 shots of 192 proof alcohol per day (96% pure alcohol). when will i die lol!?,,,,,,,
how can i ask my parents to get me some alcohol?,"im 15, i drink basically every weekend and my parents seem fine with it, theyve never really told me off, i think im pretty responsible but im not sure if my parents would go in the shop for me, how could i ask them to?",,,,,,
can you get in trouble for talking about drugs and alcohol even though you dont drink nor do drugs?,"me and a friend of mine were talking about the song we are young by fun then started nameing all kinds of alcoholic drinks and drugs, our bus driver threaten to tell the resource officer , can we get in real trouble for this?",,,,,,
my 13 year old friend is seriously turning into an alcoholic?,,,,,,,
should there be a drug and alcohol abuse category on this site?,,,,,,,
should there be a drug and alcohol abuse category on this site?,,,,,,,
how do you define alcoholism?,,,,,,,
i took 3 tylenols with alcohol?,"i drank 3/4 of a 750ml of jack and took 3 tylenol, will i be okay?",,,,,,
what can happen if u completely stop drinking alcohol?,,,,,,,
why dont they simply drink alcohol instead of syrup?,,,,,,,
why do we abuse drugs and alcohol?,,,,,,,
will society fall apart if the prohibition of drugs were ended if treated like alcohol what would happen?,,,,,,,
adding a depressant drug to alcohol can cause what?,i need to know what adding a depressant to alcohol can do.,,,,,,
what should i do my mom is an alcoholic and i can not take this?,,,,,,,
help! i need to come up with a thesis on how alcohol affects familes?,,,,,,,
can thinking about drinking and getting drunk constantly mean your addicted to alcohol?,i was also on prozac for most of my teen years which did nothing and i was still on it when i began drinking and thought i was going to pass out a few times lol i also blackout every time i get drunk even three years ago lol so do i sound like im addicted?,"hahahahaha lol mia then why does he think i am not at all addicted to alcohol then, when he talks to me about in concern?",lol and when i say my dad he is actually my birth moms dad lol lol mister do you blackout a lot and get drunk alone mostly like me or is it social more with you?,,,,
signs of liver failure because your an alcoholic?,,,,,,,
why are alcohol and tobacco not listed as schedule 1?,,,,,,,
primrose everdeen is an alcoholic?,,,,,,,
can you become addicted to alcohol?,,,,,,,
"if i were to try one, which one would have less effects. weed or alcohol?",,,,,,,
double standard for alcohol and substance abuse. what is your opinion?,is it because alcohol is legal?,,,,,,
do you think 20 years of alcohol and cocaine abuse affected george w. bushs intelligence.?,,,,,,,
what does alcohol do to your body?,,,,,,,
how come i constantly think of alcohol and getting/being drunk when im sober/not drinking?,"i think i am going down a bad path tbh, i even dream of alcohol and getting drunk loladditional details so yes i have a drinking problem but do i sound like an alcoholic?",,,,,,
alcohol and caffeine addiction?,additional details im just worried as im 16 - can i be addicted at this age? ,,,,,,
"most jews dont drink alcohol, or not much?",does the jewish religion prohibit drinking?,,,,,,
i am an alcoholic. why is it so hard for me to fall asleep at nighht?,,,,,,,
senior citizens: what will the fall out be from the changes in alcohol charges in scotland?,what will the fall out be from the changes in alcohol charges in scotland?,,,,,,
why dont i get physically addicted to drugs or alcohol?,,,,,,,
"marijuana vs alcohol , why do we portrait drinking as fun and legal but the exact opposite of marijuana?",why do people believe alcohol is so much better then marijuana ha ha ?,,,,,,
"do you see any of the sex, drugs, and alcohol abuse among teens- come to an end anytime soon?",,,,,,,
where can i get help with alcohol issues?,,,,,,,
"mixing xanax, hydrocodone, alcohol?",,,,,,,
what does underage alcohol drinking damage the most the heart or liver?,can alcohol abuse destroy the hearts tissue or electrical system?,"and if so, can over a year of alcohol abuse cause that or not, how long do u have to drink to cause heart problems?",,,,,
if saying that drinking is a sin is not being anti-alcohol..?,then does that mean saying that homosexuality is a sin means you are not anti-homosexual?,,,,,,
what`s the top reasons why people where you live abuse drugs and alcohol?,why is it that our population in north america heavily abusing drugs and alcohol?,what do you say on how they can quit this destructive lifestyle?,,,,,
why do i find alcoholics annoynomous creepy?,"dont get me worng, for a lot of people it makes them quit drinking (not most) but i do think its creepy how much they love going to meetings ten years later.",,,,,,
could i have liver damage ( alcohol & drug abuse )?,is it possible that i have liver damage ?,,,,,,
are people with neptune in scorpio more prone to drug and alcohol (ab)use?,,,,,,,
how to make my alcohol addiction presentation interesting?,,,,,,,
do people choose to be addicted to nicotine and alcohol?,,,,,,,
what to do with an alcoholic that doesnt believe in god?,,,,,,,
taking sertraline and seroquel with abusing alcohol?,,,,,,,
how many years can it take your body to fully recover from drugs and alcohol?,,,,,,,
alcoholism a disease?,why is alcoholism called a disease? ,,,,,,
impact of alcohol abuse?,,,,,,,
why am i an alcoholic and why do i return to drinking?,,,,,,,
how does alcohol acts as a depressant in the body?,,,,,,,
i need help with finding moving/funny/dramatic moments with alcohol on a tv show.?,,,,,,,
is vodka the worst alcohol for the liver?,,,,,,,
23 year old alcoholic with uni exams soon need some advice?,,,,,,,
pregnt and addicted to rubbing alcohol?,,,,,,,
how long does alcohol stay in your system?,will it be out of my system by tomorrow?,,,,,,
why does alcohol abuse tend to make the person slower in their brain and thinking?,,,,,,,
"what does this verse have to do with why people seek out excessive alcohol, eating and other addicitons?",,,,,,,
i am struggling with alcohol abuse what can i do?,,,,,,,
how to help a friend out because he has alcohol addiction!!?,,,,,,,
"strange question, but why do many recovering alcoholics drink lots of diet soda?",is there something in diet drinks that is addictive?,,,,,,
"ideas for clubs for helping students with addiction such as drugs, alcohols,etc?",,,,,,,
is logan carter from dead island a drug addict/alcohol user?,,,,,,,
why do people with depression and/or anxiety abuse alcohol and other substances?,is it just to get them out of their own mind so they dont feel the depression or anxiety? ,,,,,,
"he does drugs and is an alcoholic, will i be like him if i date him.?",,,,,,,
was i a problem drinker/alcoholic at age 19 in december 2009-april 2010?,(he gave me 10 dollars) and said do not spend this on alcohol but what do i do?,,,,,,
alcohol consumption test?,can your history of alcohol consumption show in any sort of drug test when youre sober? ,,,,,,
i think im getting an alcohol addiction?,i have alcoholics on both sides of my family so how do i keep from becoming one of them?,,,,,,
alcoholic parent causes depression?,,,,,,,
what happens to senior citizens who have alcohol & substance abuse problems if they need to goto a nursinghome?,,,,,,,
vicodin and alcohol ?,,,,,,,
some people handle cigarettes and alcohol much better?,,,,,,,
how to (please) stop my fathers addiction to alcohol?,,,,,,,
i am addicted to alcohol need help...?,,,,,,,
when does alcohol use cross the line to abuse?,,,,,,,
if alcoholics are addicted to alcohol and chocoholics are addicted to chocolate?,are catholics addicted to cats?,,,,,,
check my alcohol facts please!?,,,,,,,
the issue of drug and alcohol use among young people in australia. examine the problem and the extent to which?,,,,,,,
"are there any free alcohol treatment centers in phoenix, arizona?",,,,,,,
my son is living with his mum and she is a full blown alcoholic and has been selling drugs from her house?,,,,,,,
im becoming a alcoholic how to stop?,,,,,,,
when is enough is enough for your son/husband/friend going through drug/alcoholic addiction please help....?,,,,,,,
why is weed illegal when alcohol is 100 times worse and thats legal?,,,,,,,
liver damage from alcohol?,is there a possibility that it is only in the first stage and she will recover?,and if not do we as her children have to mention the idea of a liver transplant or is will a doctor eventually clue us in?,,,,,
can you abuse alcohol for 30-40 years every day and not get cerrosis of the liver?,does she have cerrosis. ,,,,,,
how much is too much regarding her alcohol consumption?,,,,,,,
which is worse alcohol or cigarettes?,,,,,,,
my step dad is an alcoholic and i dont get why he does not stop drinking?,,,,,,,
alcohol (substance) induced behavior?,does anyone recognize this symptoms of a particular mental illness?,,,,,,
will i get discharged from the military if i drink alcohol underaged?,,,,,,,
could i be becoming an alcoholic?,"everyone always says ""oh youre not an alcoholic until you graduate"", but do i have a high chance of being an alcoholic when i do graduate?",,,,,,
my step-brother is 20 and is already an alcoholic and addicted to steroids. what should i do?,,,,,,,
"what is your thoughts on drugs, alcohol, tobacco and why is your opinion like that?",,,,,,,
why do i still feel so much anger and resentment after beating up my abusive alcoholic father?,,,,,,,
i am 18 and cant stop thinking about alcohol?,why cant i stop thinking about vodka? ,,,,,,
"why is there a push to ban every new recreational drug that hits the market in the u.s., but never alcohol?",,,,,,,
how to tell if someones an alcoholic?,,,,,,,
"what is it like to be an addict, specifically an alcoholic how can i get my parent to stop?",is there anything i can make him do to stop?,"how can someone be so selfish as to put no only their own life in danger, but everyone elses on the road?",,,,,
do you think teens are discriminated for abusing alcohol and drugs?,"does anyone have any articles, videos, or even experiences they want to share?",,,,,,
christians: is it all right for a christian to drink alcoholic drinks?,,,,,,,
which is better to take with alcoholtylneol or motrin?,,,,,,,
can alcohol perminantly damage your vocal chords?,,,,,,,
does age change the way alcohol affects a person (college essay)?,what are your experiences with the way alcohol has affected you over time?,"were you once a happy drunk, but find yourself becoming angry when drinking as you get older?",are you able to drink more?,,,,
"is alcohol really a ""poison"" as some say?",,,,,,,
alcohol related illnesses?,"i need the name of some alcohol related, non fatal, illnesses that alcohol causes please?",,,,,,
"why are people so hesitant to make reference to alcohol as a drug its a legal drug, so whats the big deal?","is it possibly because acknowledging that alcohol is a drug (outside of health class) highlights the fact that it isnt necessarily better than other drugs, just different?",,,,,,
why is weed illegal if tobacco and alcohol is ok?,why is it worse to have calmed down happy people on the street rather than angry violent drunks?,"am i missing something here that makes weed more harmful and bad than tobacco and alcohol (to smokers themselves, and how their actions affect others)? ",,,,,
what is a early pathological finding associated with alcohol abuse?,,,,,,,
my dad has an alcohol problem?, need to know what to do and how to deal with this without a support system? ,,,,,,
what moral authority does a government that allows alcohol or tobacco to be lega have in telling people what?,,,,,,,
please help me! alcohol im only in 8th grade and im addicted!?,,,,,,,
how can you be sure its alcohol dragging you down and not something else?,how would you know if its alcohol dragging you down? ,,,,,,
"my brother is totally addicted to alcohol, he is unable to come out of it. what is the best and safest way to?",,,,,,,
question about inpatient alcohol/drug rehab places:?,was the rehab unit or freestanding a locked setting? ,,,,,,
"why do people say drug (and alcohol) addiction is a ""disease"" (and not a crime) when...?",,,,,,,
sociological solutions for lowering alcohol consumption in college students?,"i would like to see ideas from other people about solutions on how students can lower, or even stop binge drinking. ",,,,,,
i am 24yrs old and worried i may be an alcoholic.?,does this mean im turning into an alcoholic?,,,,,,
"if alcoholics r addicted 2 alcohol + chocoholics r addicted 2 chocolate, what are catholics addicted to?",,,,,,,
are health insurance companies required to provide alcohol or drug rehabilitation benefits in nh?,,,,,,,
"do you think god cares about alcohol abuse and your liver, brain and family damage?",,,,,,,
why does our society respect people who overcome drug and alcohol addictions?,,,,,,,
how much alcohol do you have to drink to damage your body?,"i enjoy drinking, but i wonder if my drinking could be putting me in danger at this point?",,,,,,
psychology of alcohol?,,,,,,,
is smelling rubbing alcohol bad for you?,"i know its not healthy, but will it actually cause problems? ",,,,,,
what happens if i drink a little bit of alcohol?,what happens if i drink like a small cup of alcohol if ive never tried it before?,will i get addicted immidiately and want more or can i control it? ,,,,,
was i a problem drinker/alcoholic at age 19 in december 2009/early 2010?,,,,,,,
physical/mental abusive alcoholic spouse?,how to approach this and what meetings or counseling would be needed. ,,,,,,
"what should i do about my dad...., alcoholic, severely depressed, he cant function?",,,,,,,
would you support legalizing marijuana and taxing it like cigarettes and alcohol?,,,,,,,
"i need to stop drinking... advice on becoming a teetotaler not an alcoholic, just really stupid when drunk.?",how do i accomplish being a teetotaler?,,,,,,
"how to become a teetotaler before i kill myself/someone and no, not an alcoholic, just a dummy when drunk...?",,,,,,,
are you addicted to alcohol ?,do people just assume addiction to be bad?,,,,,,
drug and alcohol test answers?,,,,,,,
"which substance, when abused, is responsible for more deaths: pot or alcohol?",,,,,,,
can we get addicted to 0.5 alcohol?,,,,,,,
should i give my alcoholic abusive husband a third chance?,"my question is, is it worth a third chance?",,,,,,
worried about my alcohol abuse but no symptoms of problems?,,,,,,,
am 53 years old man and have ulcers if i stop drinking alcohol will the ulcers go away for good and all the pr?,,,,,,,
why do some people drink more alcohol than other things?,"why dont people think about safety when theyre drinking, besides theyre having fun?",,,,,,
how do i help an alcoholic ?,,,,,,,
"what is worse, a world full of alcoholics or a world full of potheads?",,,,,,,
how is alcohol legal and cannabis illigal?,,,,,,,
alcohol sales in supermarkets ?,what is the point of raising the price of alcohol in supermarkets when they sell their own brands at low prices and do cheap deals during the european cup period.,,,,,,
is there any difference between being and alcoholic....?,,,,,,,
please help me with my drug and alcohol quiz !! please?,,,,,,,
"quitting alcohol ""cold turkey""?","anyways does anyone have any suggestions, something to slow down the process",,,,,,
i am obsessed with sex & alcohol help?,even when im not im thinking about them it has completly taken over my thoughts so how do i get my thought patterns & lifestyle to sway,,,,,,
i love him but he has a problem with alcohol abuse and smokes weed..help?,"i dont know what to do :( my 1st love is an alcoholic/drug abuser, help",,,,,,
"he gets angry far too quickly, he put weed/booze infront of his ex, he has a problem with alcohol abuse, help!?","i dont know what to do :( my 1st love is an alcoholic/drug abuser, help",,,,,,
"he abuses alcohol/drugs but i love him, desperate for answer sorry its long but please help me?","i dont know what to do :( my 1st love is an alcoholic/drug abuser, help",,,,,,
why did i not experience any alcohol withdrawal after drinking so heavily for years please advise?,,,,,,,
"he abuses alcohol/drugs but hes my first love, sorry its long please help.?","i dont know what to do :( my 1st love is an alcoholic/drug abuser, help",,,,,,
"my 1st love. i want 2 be there for the alcoholic/drug abuser, sorry its long please help?","i dont know what to do :( my 1st love is an alcoholic/drug abuser, help",,,,,,
"i dont know what to do :( my 1st love is an alcoholic/drug abuser, help?",,,,,,,
advice for at home opiate and alcohol detox?,my questions is does any one have advice or suggestions for how to do this at home detox and treating withdrawl symptoms?,,,,,,
what kind of alcohol beverage is abused the most?,,,,,,,
why is quitting alcohol so darn hard?,,,,,,,
is it alcohol withdrawal?,"i love him dearly and im worried about him, but what can i do to help him? ",,,,,,
what alcohol helps overcome shyness and how much of it would you need?,,,,,,,
alcohol makes me feel better about myself?,what do yall think cause to me this is messed up because i feel beer makes me so much better i was about to drink some of my dads beer but i was afraid he would notice if one of his beers was missing,,,,,,
"help, drug & alcohol test.... i cant afford to re-take test again. please help.?",,,,,,,
"please help, drug & alcohol test. ive already failed, i cant afford to re-take it again i really need help.?",,,,,,,
"im an alcoholic with no friends, no job, no family, and no money. so guess what happened today?",,,,,,,
alcohol that isnt acidic..?,are there any stomach friendly drinks?,,,,,,
my father is an alcoholic and im concerned with him?,,,,,,,
how often do you drink alcohol?,,,,,,,
in what f**king world is weed more healthier than alcohol and cigars!?,"there is no way that weed is healthier, why would they make it illegal if its more safer?",,,,,,
help please what is this liver disease caused by alcohol?,,,,,,,
"why is alcohol legal, and not pot?",,,,,,,
advice on alcoholism and depression?,,,,,,,
how can i help my alcoholic son?,,,,,,,
why do christians revere alcohol and intoxication?,,,,,,,
according to christianity is it bad to consume alcohol?,,,,,,,
alcohol shakes how long do they take to go away?,,,,,,,
could i become addicted to alcohol after just 5 shots of vodka?,,,,,,,
what happens if i iv alcohol?,,,,,,,
will it go against me if i admit to my doctor that i am an alcoholic?,,,,,,,
what does it mean when your ankles swell real bad only when drinking alcohol?,,,,,,,
can long term memory loss occur due to alcohol abuse?,,,,,,,
why do so many people drink alcohol?,why do people still drink it and why is it considered so normal? ,,,,,,
alcohol and drugs assignment?,what are some information that will lead to good choices about alcohol and drugs?,,,,,,
does alcohol detox physically & mentally hurt?,"& if it does, how much would it & how long would it take to recover from the pain? ",,,,,,
"my father is an alcoholic and a wife beater, what can i do?",,,,,,,
anxiety depression and alcohol?,do you know if they react badly to one another?,,,,,,
how much damage is she doing to herself by still having that dead fetus/embryo in her and drinking all that alcohol?,,,,,,,
"is this a sign of bipolar disorder, or alcoholism?",,,,,,,
how damaged is my brain from alcohol ?,have i really messed up my brain so much since that?,how much alcohol is necessary to cause me to drop in grades and all that negative stuff? ,,,,,
why do christians revere alcohol and intoxication?,may allah guide america to islamadditional details voice .,,,,,,
would i get addicted to alcoholic drinks if i start to drink wine?,,,,,,,
"army - i am 17 and i drink alcohol, does the test or meps check for alcohol?",,,,,,,
a straight and atheist person lives his life without sex or alcohol - whats he called?,,,,,,,
drug experts say alcohol is 3 times worse than heroine or cocaine. why cant i do heroine or cocaine then?,why cant i do heroine or cocaine then?,why is alcohol legal but heroine and cocaine arent?,,,,,
marijuana or alcohol. which repercussions are worse from a non bias point of view.?,,,,,,,
my alcoholic step-father!?,,,,,,,
is it normel for a 16 year old to be allowed alcohol?,,,,,,,
i have an alcoholic brother!!! can someone help?,,,,,,,
what are some alcoholism signs?,how can you tell if your addicted? ,,,,,,
should i be attending aa am i an alcoholic?,,,,,,,
how can i help my flatmate who may be an alcoholic?,,,,,,,
to those who successfully recovered from alcohol addiction:?,"speaking for yourself only, has it ever been possible for you to go back to drinking moderately? ",,,,,,
how to detox body from alcohol and illegal drugs?,,,,,,,
just curious how did amy winehouse die off alcohol poisoning?,was it just too much drink that particular night or too much alcohol over a period of time that finally killed her that particular nightadditional details no the cause of death was alcohol poisoning but i am just curious was it just drinking too much that one night or drinking in excess over a period of time that killed her,,,,,,
what is the difference between alcoholism and alcohol abuse?,am i an alcohol addict? ,,,,,,
alcoholism and adolescence~ sociology projects topic. can anyone help me?,,,,,,,
will ibufrofen and hydrocodone show up on a drug and alcohol test?,,,,,,,
"i am 18 years old and smoked cigarettes, drank alcohol, experimented with drugs since 14?",are my chances of getting cancer high?,,,,,,
im wondering what my risk of getting addicted to alcohol is. ,,,,,,,
what age would you let your child have there first alcoholic drink?,,,,,,,
which is worst. not drinking alcohol during the week but getting drunk one night or...?,,,,,,,
do i sound like an alcoholic?,why is it so addictive?,,,,,,
is it possible for an ex-addict to ever drink normally and moderately ever again?,,,,,,,
any new/current information on fetal alcohol syndrome?,,,,,,,
my husband drinks a lot... is he an alcoholic and what can i do?,,,,,,,
i hate drug additcts addicted to heavy drugs that make pot smokers look bad nd alcohol needs to be illegal ?,,,,,,,
does your body ever fully recover from recreational drug/alcohol abuse?,,,,,,,
how come people believe alcohol isnt as bad as weed?,how is that any better than weed?,,,,,,
what are the signs that someone has alcoholism?,,,,,,,
what are some dangers of alcohol?,,,,,,,
"what is more dangerous for the life: a. narcotics, b. steroids, c. cigaretes, d. alcohol?",,,,,,,
am i an alcoholic...........?,,,,,,,
poll: would you rather have alcoholism or depression?,,,,,,,
left my alcoholic husband yesterday and now i feel horrible!?,,,,,,,
"parents: teens, drugs, alcohol, and self harm?",,,,,,,
do you think it is bad to drink (alcohol) once a week?,,,,,,,
i am very concerned for my friend whose father is excessively drinking alcohol and using cocaine and marijuana?,,,,,,,
someone tell me things i should know about drinking/alcohol?,why drink mixed drinks if they dont get you drunk as easy?,,,,,,
do i have a problem  drug and alcohol?,,,,,,,
can alcohol withdrawal cause depression and anxiety?,could some of this be from alcohol withdrawal? ,,,,,,
why is alcohol legal but milder drugs arent?,,,,,,,
children of alcoholics as parents: what have you experienced raising your own children?,what have you experienced raising your own children?,did you have a parents who was addicted?,how were you raised and how do you raise your own kids?,what have you learned?,,,
can you go through alcohol detox twice?,"if you did it once & then you became addicted again with it being worse the second time around, can you get it again?",,,,,,
how long is long term abuse for drugs and alcohol ?,,,,,,,
diversion alcohol and drug test tomorrow?,,,,,,,
restyl and alcohol... effects?,so does restyl and alcohol mixture have immediate side effects like even if i take once or twice a year or is it long term effect only ,,,,,,
my freinds turning alcoholic?,,,,,,,
alcohol abuse and depression in teens?,"i want to know if there is anything i can do to help him, or should i just leave?",,,,,,
best psychiatrists in hyderabad for dealing alcohol de addiction cases?,,,,,,,
"can a person control their brain to stop them from from being addicted to drugs, alcohol, religion & gambling?",,,,,,,
what did buddha say about alcohol and gambling did he outright forbid them to his followers?,or did he say alcohol and gambling were ok in moderation? ,,,,,,
"most men dont rape, most parents dont abuse, most alcohol users dont get involved in accidents?",why do liberals think that most gun owners kill people? ,,,,,,
"should there be a ""welfare store"" to prevent recipients from buying cigarettes, alcohol, and junk food?",,,,,,,
is stress more poisonous than alcohol?,,,,,,,
opinion: does alcohol and writing mix?,,,,,,,
is animation a comparable addiction to drugs and alcohol?,,,,,,,
"enabling addict my brother is a loong time user/abuser of drug and alcohol, been in and out of jail many time?",,,,,,,
should i leave my alcoholic husband?,,,,,,,
is it easier to become an addict with heroin than it is with alcohol - or are they both the same?,,,,,,,
"if marijuana is considered a drug, then shouldnt alcohol be considered a higher class drug?",,,,,,,
best alcohol for a college party?,,,,,,,
physically and emotionally i think i still need it and i dont know how to get rid of it.,,,,,,,
"my husbands father is a mean and nasty, abusive alcoholic.?",,,,,,,
do you agree if alcohol was discoverd today it would be a banned class a drug?,,,,,,,
going to my first party with alcohol?,should i avoid the party or go have a good time for once and just stay safe.,,,,,,
am i an alcoholic?,can i have a drink some time?,is it possible i was only drinking to feel sane? ,,,,,
what exactley is an alcoholic?,,,,,,,
dealing with an alcoholic mother?,,,,,,,
i never see my mother drinking recovering alcoholic....?,,,,,,,
is drinking alcohol a sin?,is it a sin to drink period or is a sin to drink in excess. ,,,,,,
will drinking alcohol make my dad die sooner?,,,,,,,
what are my chances of becoming an alcoholic?,"my main question is, sorry for carrying this on for so long, is do you think im safe if im always cautious about things, never drink very much and am aware of that alcoholism runs in my family?",,,,,,
is it rape if you consent whilst under the influence of alcohol or any drug?,"also is it rape if its against your will, even if you gave your consent before but then decided not too?",,,,,,
which of the following is not normally affected by long term alcohol abuse ?,,,,,,,
should you drink if your significant other is an alcoholic?,am i unreasonable to be upset if he wants to go out and have a few beers with his friends?,,,,,,
parents reaction to drugs/alcohol?,she wont say anything but if you were a parent or are what would you do if you found out what trust issues would there be.,,,,,,
is alcohol considered a drug?,,,,,,,
how do you deal with a recovering alcoholic are they bad at approaching girls are they bad news?,can being a recovering alcoholic effect this?,"is he just shy, or does him being a recovering alcoholic have anything to do with it?",,,,,
"alcoholic mother, please help!?",,,,,,,
can i be addicted on alcohol after two months?,"if i drink two beers everything is again ok.  so, can i be already addicted? ",,,,,,
am i depressed or bipolar think im becoming alcoholic?,,,,,,,
how do you live with an alcoholic who is drying out?,,,,,,,
why does it say people with schizophrenia and bi-polar are most likely addicted to smoking and alcohol?,i have paranoid schizophrenia and yeah i occasionally drink and well im a smoker but why do statistics say that?,,,,,,
should i disclose an alcoholics dishonesty?,,,,,,,
"are relationships really bad with recovering alcoholics ive been told to run like hell from them, fair?",,,,,,,
i took 1600 milagrams of ibuprofen and a 1 ounce shot of 35% alcoholic brandy?,,,,,,,
if a mother is suspected of drug/alcohol abuse during pregnancy what postpartum tests should be ran?,,,,,,,
if my dad was an alcoholic will i become one?,,,,,,,
am i a addicted to alcohol or are people over worried ?,am in denail or am i right about the habit thing?,,,,,,
does sparkling water have alcohol in it?,"if it does in fact have no alcohol in it, then what is it made of?",,,,,,
signs of becoming an alcoholic?,are these signs of alcoholism or alcohol abuse? ,,,,,,
can beer or alcohol be medicinal?,,,,,,,
how do i ask my parents for permission to drink alcohol?,,,,,,,
i dont want to be around alcohol?,is there seriously anything wrong about not wanting to be around alcohol? ,,,,,,
what are the factors that encourage youth to engage in alcohol abuse?,,,,,,,
cocaine or alcohol what is worse and why?,,,,,,,
"what do you consider worst, marijuana or alcohol?",,,,,,,
after how many days of binge drinking is alcohol detox necessary?,"was just curious how long it takes to need detox at rehab for ppl who become addicted to boozeadditional details i meant how long does it usually take your body to become addicted to the feeling of alcohol so that you develop physical withdrawal symptoms (but serious symptoms, not just like a small jittery feeling)",,,,,,
my dads an alcoholic and suicidal. we just had him taken to the hospital?,,,,,,,
do you need help with alcohol or substance abuse?,,,,,,,
"help! detoxing off of alcohol, need anxiety meds?",i dont want to drink what should i do?,,,,,,
"should there be a ""welfare store"" to prevent recipients from buying cigarettes, alcohol, and junk food?",,,,,,,
